mpg,cyl,disp,hp,drat,wt,qsec,vs,am,gear,carb
21.00,6.00,160.00,110.00,3.90,2.62,16.46,0.00,1.00,4.00,4.00
21.00,6.00,160.00,110.00,3.90,2875.00,17.02,0.00,1.00,4.00,4.00
22.80,4.00,108.00,93.00,3.85,2.32,18.61,1.00,1.00,4.00,1.00
21.40,6.00,258.00,110.00,3.08,3215.00,19.44,1.00,0.00,3.00,1.00
18.70,8.00,360.00,175.00,3.15,3.44,17.02,0.00,0.00,3.00,2.00
18.10,6.00,225.00,105.00,2.76,3.46,20.22,1.00,0.00,3.00,1.00
14.30,8.00,360.00,245.00,3.21,3.57,15.84,0.00,0.00,3.00,4.00
24.40,4.00,146.70,62.00,3.69,3.19,20.00,1.00,0.00,4.00,2.00
22.80,4.00,140.80,95.00,3.92,3.15,22.90,1.00,0.00,4.00,2.00
19.20,6.00,167.60,123.00,3.92,3.44,18.30,1.00,0.00,4.00,4.00
17.80,6.00,167.60,123.00,3.92,3.44,18.90,1.00,0.00,4.00,4.00
16.40,8.00,275.80,180.00,3.07,4.07,17.40,0.00,0.00,3.00,3.00
17.30,8.00,275.80,180.00,3.07,3.73,17.60,0.00,0.00,3.00,3.00
15.20,8.00,275.80,180.00,3.07,3.78,18.00,0.00,0.00,3.00,3.00
10.40,8.00,472.00,205.00,2.93,5.25,17.98,0.00,0.00,3.00,4.00
10.40,8.00,460.00,215.00,3.00,5424.00,17.82,0.00,0.00,3.00,4.00
14.70,8.00,440.00,230.00,3.23,5345.00,17.42,0.00,0.00,3.00,4.00
32.40,4.00,78.70,66.00,4.08,2.20,19.47,1.00,1.00,4.00,1.00
30.40,4.00,75.70,52.00,4.93,1615.00,18.52,1.00,1.00,4.00,2.00
33.90,4.00,71.10,65.00,4.22,1835.00,19.90,1.00,1.00,4.00,1.00
21.50,4.00,120.10,97.00,3.70,2465.00,20.01,1.00,0.00,3.00,1.00
15.50,8.00,318.00,150.00,2.76,3.52,16.87,0.00,0.00,3.00,2.00
15.20,8.00,304.00,150.00,3.15,3435.00,17.30,0.00,0.00,3.00,2.00
13.30,8.00,350.00,245.00,3.73,3.84,15.41,0.00,0.00,3.00,4.00
19.20,8.00,400.00,175.00,3.08,3845.00,17.05,0.00,0.00,3.00,2.00
27.30,4.00,79.00,66.00,4.08,1935.00,18.90,1.00,1.00,4.00,1.00
26.00,4.00,120.30,91.00,4.43,2.14,16.70,0.00,1.00,5.00,2.00
30.40,4.00,95.10,113.00,3.77,1513.00,16.90,1.00,1.00,5.00,2.00
15.80,8.00,351.00,264.00,4.22,3.17,14.50,0.00,1.00,5.00,4.00
19.70,6.00,145.00,175.00,3.62,2.77,15.50,0.00,1.00,5.00,6.00
15.00,8.00,301.00,335.00,3.54,3.57,14.60,0.00,1.00,5.00,8.00
21.40,4.00,121.00,109.00,4.11,2.78,18.60,1.00,1.00,4.00,2.00